REPORTED DATE :	12/11/2020	Page 1	PolyMerit Asia Co.,Ltd.	858 Moo 2, Soi 1C/1  Bangpu Industrial Estate, Bangpumai,   Muang Samutprakarn, Samutprakarn 10280 Thailand.
Tel : (66)0-2323-2601-08  Fax  (66)0-2323-2227-8	LOSS ON PROCESS
End days = จำนวนวันหลังจากที่โพส GR. จนถึงวัน End process	Delivery lead time : จำนวนวันโดยนับตั้งแต่เริ่มสร้าง Production จนถึงการ End process	Act lead time : จำนวนวันโดยนับจากการ Start production จนถึงการ End process
Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
MPWH14414	FG-WHITE	PD62001589	FP62-001659	TWIN-58	21HM200-5	SO62000784	5,030.000	5,030.000	5,010.000	20.000	0.350	0.398	Fail	18.403	61,634.799	10,004.931	0.000	71,639.730	6/1/2020	23/1/2020	4	18	50
MPWH14414	FG-WHITE	PD62001590	FP62-001660	TWIN-58	21HM200-5	SO62000784	5,030.000	5,030.000	4,809.800	220.200	0.350	4.378	Fail	25.452	70,772.661	24,349.911	0.000	95,122.572	8/1/2020	30/1/2020	3	23	57
MPWH14414	FG-WHITE	PD63000048	FP63-000050	TWIN-58	21HM200-5	SO63000022	1,538.462	1,538.461	1,516.000	22.461	0.350	1.460	Fail	10.074	-57.892	698.336	11,226.400	11,866.844	10/1/2020	17/1/2020	3	8	8
MSBK56	FG-BLACK	PD63000046	FP63-000048	BUSS	21HM500-1	SO63000021	10,000.000	10,000.000	9,925.000	75.000	0.350	0.750	Fail	-8.075	-34,255.962	-39.221	0.000	-34,295.183	22/1/2020	25/1/2020	1	4	16
MSBK56	FG-BLACK	PD63000047	FP63-000049	BUSS	21HM500-1	SO63000021	10,000.000	9,200.000	9,132.600	67.400	0.350	0.733	Fail	-9.550	-38,639.958	1,318.354	0.000	-37,321.604	22/1/2020	27/1/2020	3	6	18
SAP1FOR17310	SCO	PD63000007	FP63-000007	OT	21HM200-4	Manual	432.820	432.820	425.000	7.820	0.350	1.807	Fail	0.858	3,013.066	580.098	-3,254.780	338.384	13/1/2020	21/1/2020	4	9	16
SE82FCC05	SFL	PD63000076	FP63-000078	FARREL	21HM500-1	Manual	25,000.000	25,010.000	25,000.000	10.000	0.350	0.040	Pass	-1.931	-5,878.538	-179.450	176.131	-5,881.857	14/1/2020	21/1/2020	2	8	8
SE82FCC05	SFL	PD63000077	FP63-000079	FARREL	21HM500-1	Manual	10,039.787	10,049.787	10,000.000	49.787	0.350	0.495	Fail	-1.961	-2,946.702	293.885	263.200	-2,389.617	14/1/2020	21/1/2020	2	8	8
SRLLP20-5	SRM	PD62001633	FP62-001705	OT	25PM500-1	Manual	4,500.000	4,500.000	4,500.000	0.000	0.350	0.000	Pass	-10.825	-15,680.792	256.073	0.000	-15,424.719	24/12/2019	8/1/2020	2	16	16
SRLLP20-5	SRM	PD63000060	FP63-000062	OT	25MF600-1	Manual	5,250.000	5,250.000	5,250.000	0.000	0.350	0.000	Pass	2.555	2,498.770	1,232.942	0.000	3,731.712	13/1/2020	18/1/2020	2	6	6
SRPPHP14	SRM	PD63000059	FP63-000061	OT	25MF600-1	Manual	510.000	510.000	510.000	0.000	0.350	0.000	Pass	-14.633	-3,754.281	12.646	0.000	-3,741.635	10/1/2020	21/1/2020	2	12	12
Grand total	-1,342,470.486	-1,493,327.326	3,218,737.441	382,939.629	1,151,096.401	1,155,402.015	1,145,586.500	9,815.515
