Item number	Item group	Production	Batch number	Configuration	Work center	S/O No.	Order	MIS.	GR.	LOSS	KPI % loss	%	Result	% Variance	Price variance	Quantity variance	Substitution variance	Total variance	Started	Ended date	End days	Act. lead time	Delivery lead time
MEWH17578	FG-COL-WH	PD63000036	FS63-000061	TE75	21HM200-1	SO63000028	"7,800.00"	"7,800.00"	"7,750.00"	50	0.5	0.641	Fail	1.525	1423.340	2164.670	-75.750	3512.260	9/1/2020	17/1/2020	1	9	12
CPTC21394	TRADE-CO	PD63000050	FS63-000075	TWIN-L	21TM500-2	SO63000029	"5,015.00"	"5,015.00"	"5,000.00"	15	0.5	0.299	Pass	-26.778	-11376.910	14749.430	-59873.100	-56500.580	13/1/2020	17/1/2020	1	5	12
SRLDP05	SRM	PD63000062	FS63-000093	OT	25PM500-3	Manual	"3,000.00"	"3,000.00"	"3,000.00"	0	0.5	0	Pass	-0.122	-648.680	527.950	0.000	-120.730	8/1/2020	17/1/2020	1	10	11
MPPK21455-1	TEST	PD63000077	FS63-000126	TWIN-L	21HM75-1	SO63000074	27	27.539	26.5	1.039	3.1	3.773	Fail	97.977	3313.700	402.300	0.000	3716.000	7/1/2020	17/1/2020	2	11	11
AESB9799	FG-AD	PD63000091	FS63-000145	TWIN-L	21HM200-4	SO63000068	"1,008.30"	"1,008.30"	"1,002.40"	5.9	1	0.585	Pass	3.627	2617.650	645.400	220.360	3483.410	14/1/2020	17/1/2020	1	4	10
RENA20938	FG-AD	PD63000100	FS63-000159	OT	Packer_1	SO63000105	200	200	199.9	0.1	2.1	0.05	Pass	-0.938	-107.830	-53.430	0.000	-161.260	15/1/2020	17/1/2020	1	3	9
MEPK3041	FG-COLOUR	PD63000103	FS63-000163	TWIN-L	21HM75-1	SO63000150	25	25.918	25	0.918	3.1	3.542	Fail	73.771	3256.600	463.700	115.830	3836.130	9/1/2020	17/1/2020	1	9	9
SRHDP18	SRM	PD63000108	FS63-000204	OT	25MF600-1	Manual	"5,250.00"	"5,250.00"	"5,250.00"	0	0.5	0	Pass	1.172	1274.110	442.590	0.000	1716.700	13/1/2020	17/1/2020	1	5	9
MPGY3681	FG-COLOUR	PD63000110	FS63-000208	TWIN-L	21HM200-3	SO63000176	52.6	55.292	53.1	2.192	3.1	3.964	Fail	18.743	1508.900	162.400	107.220	1778.520	9/1/2020	17/1/2020	1	9	9
MUGY15619	FG-COLOUR	PD63000117	FS63-000240	TWIN-L	21HM200-2	SO63000213	52.901	53.012	50.8	2.212	3.1	4.173	Fail	134.379	6556.120	708.850	1206.470	8471.440	10/1/2020	17/1/2020	1	8	8
PXWH4462	FG-PM	PD63000119	FS63-000242	OT	21HM200-5	SO63000230	101.5	101.5	100.6	0.9	2.1	0.887	Pass	7.668	437.330	74.600	123.570	635.500	10/1/2020	17/1/2020	1	8	8
PXYE5527	FG-PM	PD63000126	FS63-000252	OT	21HM10-1	SO63000237	6	6	5.8	0.2	3.1	3.333	Fail	-24.596	-201.470	-35.410	0.000	-236.880	13/1/2020	17/1/2020	1	5	5
PXYE12473	FG-PM	PD63000127	FS63-000253	OT	21HM75-1	SO63000237	32.6	32.6	32.1	0.5	3.1	1.534	Pass	4.757	60.810	-205.220	262.330	117.920	13/1/2020	17/1/2020	1	5	5
SRPTP05	SRM	PD63000155	FS63-000292	OT	25PM500-3	Manual	"2,400.00"	"2,400.00"	"2,400.00"	0	0.5	0	Pass	-0.633	-600.000	0.000	0.000	-600.000	13/1/2020	17/1/2020	1	5	5
MEGN21	FG-COLOUR	PD63000165	FS63-000301	TWIN-L	21TM500-1	SO63000262	512.5	512.5	511.6	0.9	2.1	0.176	Pass	-20.38	-17331.670	-3038.410	2180.720	-18189.360	14/1/2020	17/1/2020	1	4	5
MEGY19338	FG-COLOUR	PD63000184	FS63-000320	TWIN-L	21HM200-3	SO63000293	52.6	52.6	51.5	1.1	3.1	2.091	Pass	-17.955	-947.550	-42.620	60.340	-929.830	14/1/2020	17/1/2020	1	4	4
MSWH15458	FG-COL-WH	PD62003999	FS62-006660	TE75	21HM200-4	SO62008008	"4,319.90"	"4,219.90"	"4,176.00"	43.9	0.5	1.04	Fail	-1.279	-7037.020	1774.440	1428.210	-3834.370	6/1/2020	18/1/2020	2	13	38
